# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a30fc64f2918058eb4d1"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "23Na^+(1S0)"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled NDL of Ellis et al., At. Data Nucl. Data Tables 31 (1984) 113."
# source_family: "compiled ndl of ellis et al., at. data nucl. data tables 31 (1984) 113."
# comment: ""
# updated: "2011-12-12 12:39:11"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_015_7961_7961/001_diffusion_x_gas_density.txt"
# source_file_sha256: "3c575e1eb29f47bf0e95764e84aa7438d615d3eff2ddfbf825dbce8720fe2cd5"
reduced_electric_field_Td,reduced_transport_SI
1.000000000000e+01,1.370000000000e+20
1.500000000000e+01,1.390000000000e+20
2.000000000000e+01,1.440000000000e+20
3.000000000000e+01,1.750000000000e+20
4.000000000000e+01,2.190000000000e+20
6.000000000000e+01,4.250000000000e+20
8.000000000000e+01,9.300000000000e+20
1.000000000000e+02,1.690000000000e+21
1.500000000000e+02,3.520000000000e+21
2.000000000000e+02,4.790000000000e+21
2.500000000000e+02,6.050000000000e+21
3.000000000000e+02,7.350000000000e+21
3.500000000000e+02,8.500000000000e+21
4.000000000000e+02,9.700000000000e+21
