# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3bf105a7f57fbea708c1"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "85Rb^+"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled NDL of Ellis et al., At. Data Nucl. Data Tables 22 (1978) 179."
# source_family: "compiled ndl of ellis et al., at. data nucl. data tables 22 (1978) 179."
# comment: ""
# updated: "2011-12-13 13:55:01"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_016_167_167/001_diffusion_x_gas_density.txt"
# source_file_sha256: "69518011c5c4538ba74f4aa3d80a1220382e5327861d54ec321c511dc3363747"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e+00,1.440000000000e+21
5.000000000000e+00,1.470000000000e+21
6.000000000000e+00,1.500000000000e+21
8.000000000000e+00,1.590000000000e+21
1.000000000000e+01,1.700000000000e+21
1.200000000000e+01,1.820000000000e+21
1.500000000000e+01,2.030000000000e+21
2.000000000000e+01,2.400000000000e+21
2.500000000000e+01,2.750000000000e+21
3.000000000000e+01,3.060000000000e+21
4.000000000000e+01,3.610000000000e+21
5.000000000000e+01,4.080000000000e+21
6.000000000000e+01,4.500000000000e+21
8.000000000000e+01,5.230000000000e+21
1.000000000000e+02,5.810000000000e+21
1.200000000000e+02,6.300000000000e+21
1.500000000000e+02,6.900000000000e+21
