# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f2743ab8b0341b825afb"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N16O+(v=0)"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Mobilities for the NO+_NG systems, calculated by Monte Carlo methods of Skullerud (2021) and of Viehland et al. (2021), using the ab initio, shifted potentials of Orek et al., J. Chem. Phys. 144 (2016) 204303."
# source_family: "mobilities for the no+_ng systems, calculated by monte carlo methods of skullerud (2021) and of viehland et al. (2021), using the ab initio, shifted potentials of orek et al., j. chem. phys. 144 (2016) 204303."
# comment: "Mobilities for the NO+_RG systems, calculated by Monte Carlo methods of Skullerud (2021)"
# updated: "2016-03-05 12:56:44"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "054bb1b0020b61793afa8cc8ce954bf761880c5022d88e20459687d809417f27"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e+01,3.702493037359e+21
4.000000000000e+01,3.703288531101e+21
6.000000000000e+01,3.917276347555e+21
8.000000000000e+01,4.306803116292e+21
1.000000000000e+02,4.719664368113e+21
1.200000000000e+02,4.970510061255e+21
1.400000000000e+02,5.100705870274e+21
1.600000000000e+02,5.139419899026e+21
1.800000000000e+02,5.108130478528e+21
2.000000000000e+02,5.050854929143e+21
2.500000000000e+02,4.895203320396e+21
3.000000000000e+02,4.663449477049e+21
3.500000000000e+02,4.516548299458e+21
4.000000000000e+02,4.345517145043e+21
