# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_50b3ee1841a2e2cb6833"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "28Si^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-28 20:09:30"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_003_1022_1022/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "de6d3fa7282323e730d7d03095555bd54e67469ede168d28b36fe5a9995364ed"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,3.470000000000e+19
1.100000000000e-01,3.470000000000e+19
4.500000000000e-01,3.470000000000e+19
7.800000000000e-01,3.480000000000e+19
1.370000000000e+00,3.480000000000e+19
1.920000000000e+00,3.490000000000e+19
2.680000000000e+00,3.500000000000e+19
3.220000000000e+00,3.510000000000e+19
3.860000000000e+00,3.530000000000e+19
4.440000000000e+00,3.540000000000e+19
5.110000000000e+00,3.570000000000e+19
5.870000000000e+00,3.600000000000e+19
6.750000000000e+00,3.640000000000e+19
7.430000000000e+00,3.670000000000e+19
8.170000000000e+00,3.710000000000e+19
8.580000000000e+00,3.740000000000e+19
9.010000000000e+00,3.760000000000e+19
9.460000000000e+00,3.790000000000e+19
9.940000000000e+00,3.820000000000e+19
1.044000000000e+01,3.860000000000e+19
1.096000000000e+01,3.900000000000e+19
1.151000000000e+01,3.940000000000e+19
1.208000000000e+01,3.990000000000e+19
1.269000000000e+01,4.040000000000e+19
1.332000000000e+01,4.100000000000e+19
1.399000000000e+01,4.170000000000e+19
1.427000000000e+01,4.190000000000e+19
1.456000000000e+01,4.220000000000e+19
1.485000000000e+01,4.250000000000e+19
1.515000000000e+01,4.280000000000e+19
1.545000000000e+01,4.320000000000e+19
1.576000000000e+01,4.350000000000e+19
1.608000000000e+01,4.380000000000e+19
1.640000000000e+01,4.420000000000e+19
1.673000000000e+01,4.460000000000e+19
1.707000000000e+01,4.500000000000e+19
1.741000000000e+01,4.540000000000e+19
1.776000000000e+01,4.580000000000e+19
1.812000000000e+01,4.630000000000e+19
1.848000000000e+01,4.670000000000e+19
1.885000000000e+01,4.720000000000e+19
1.923000000000e+01,4.770000000000e+19
1.962000000000e+01,4.820000000000e+19
2.001000000000e+01,4.880000000000e+19
