# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_197fb44806e8efe6190d"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "133Cs^+"
# neutral: "He"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Ellis et al., At. Data Nucl. Data Tables 22 (1978) 179."
# source_family: "compiled ko of ellis et al., at. data nucl. data tables 22 (1978) 179."
# comment: ""
# updated: "2011-12-12 11:23:28"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_018_47_47/003_mobility.txt"
# source_file_sha256: "57c7c52ca5a2c0ee24efcdf22f6ed98a71d8fb0da89c2137dbc7c03a7955022e"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e+00,4.852511822937e+22
6.000000000000e+00,4.852511822937e+22
8.000000000000e+00,4.852511822937e+22
1.000000000000e+01,4.852511822937e+22
1.200000000000e+01,4.825995364888e+22
1.500000000000e+01,4.799478906840e+22
2.000000000000e+01,4.719929532693e+22
2.500000000000e+01,4.640380158547e+22
3.000000000000e+01,4.534314326351e+22
4.000000000000e+01,4.348699120009e+22
5.000000000000e+01,4.163083913667e+22
6.000000000000e+01,4.003985165374e+22
8.000000000000e+01,3.738820584886e+22
1.000000000000e+02,3.500172462447e+22
1.200000000000e+02,3.314557256105e+22
